id,hsk_level,hanzi,pinyin,meaning_ja,explanation_ja,grammar_point_id,grammar_label_raw,source_site,source_id
559,2,他自己骑自行车，很自由。,"Tā zìjǐ qí zìxíngchē, hěn zìyóu",彼は自分で自転車に乗り、とても自由です。,「自己」は「自分で」という再帰代名詞。,,是不是／每／多,HSKsentences,559
560,2,查字典吧。,Chá zìdiǎn ba,辞書を調べましょう。,「吧」は提案の語気助詞。,,的（名詞化）／一下／真,HSKsentences,560
561,2,他走过教室，走进办公室，然后走开了。,"Tā zǒuguò jiàoshì, zǒujìn bàngōngshì, ránhòu zǒukāi le",彼は教室を通り過ぎ、事務室に入り、それから立ち去りました。,結果補語「过」「进」「开」で移動の結果を表す。,,给／帮／～的时候／已经,HSKsentences,561
562,2,小组组长，组成了一个组。,"Xiǎozǔ zǔzhǎng, zǔchéng le yí ge zǔ",グループのグループ長が、一つのグループを構成しました。,「组成」は「構成する」という動詞。,,就／对～／还／有点儿,HSKsentences,562
563,2,他张开了嘴。,Tā zhāngkāi le zuǐ,彼は口を開けました。,結果補語「开」で開く動作を表す。,,怎么と为什么／什么意思／因为～所以～,HSKsentences,563
564,2,最近很忙。,Zuìjìn hěn máng,最近とても忙しいです。,形容詞述語文の基本形。,14,还（継続）／時間＋就／离,HSKsentences,564
565,2,这位作家写的作文很有作用。,Zhè wèi zuòjiā xiě de zuòwén hěn yǒu zuòyòng,この作家が書いた作文はとても役に立ちます。,「的」は動詞句を名詞化する構造助詞。,,……好吗／再／让请叫（使役）,HSKsentences,565
566,2,妈妈的做法，就是每天做饭。,"Māma de zuòfǎ, jiùshì měitiān zuòfàn",お母さんのやり方は、毎日料理を作ることです。,「就是」は「すなわち～だ」という説明を表す。,15,動詞の重ね型／結果補語 懂好完见错／从～,HSKsentences,566
567,2,这篇文章很短。,Zhè piān wénzhāng hěn duǎn,この文章は短いです。,量詞「篇」は文章を数える。,,是不是／每／多,HSKsentences,567
568,2,他讲的笑话儿很有意思。,Tā jiǎng de xiàohuàr hěn yǒu yìsi,彼が話した冗談はとても面白いです。,「笑话儿」は口語で「儿化」した語形。,,就／对～／还／有点儿,HSKsentences,568
569,3,她安排了献爱心的活动。,tā ānpái le xiàn àixīn de huódòng,彼女は愛心（慈善）活動を手配した。,「一点都」で全否定、「打算」で予定を表す表現。,,一点都～／打算～,HSKsentences,569
570,4,请按照说明安装，然后按一下开关。,"qǐng ànzhào shuōmíng ānzhuāng, ránhòu àn yíxià kāiguān",説明通りに設置してから、スイッチを一回押してください。,方向補語「来/去」や動作の連続を表す「就」の用法。,51,補語 来去／就（連続動作）,HSKsentences,570
571,3,他很有把握，一定能把这件事做好。,"tā hěn yǒu bǎwò, yídìng néng bǎ zhè jiàn shì zuò hǎo",彼はとても自信があり、必ずこの事をうまくできる。,選択の「还是/或者」や「又~又~」「越来越~」の表現。,36,还是と或者／又～又～／越来越～,HSKsentences,571
572,3,白菜的颜色很白。,báicài de yánsè hěn bái,白菜の色はとても白い。,可能補語「~得~」や「刚才/刚刚」で直前の動作を表す。,,可能補語 得／刚才／刚刚,HSKsentences,572
573,3,他上个月搬家，换了一个班级。,"tā shàng ge yuè bānjiā, huànle yí ge bānjí",彼は先月引っ越して、クラスを変えた。,時間の長さを表す表現や「疑問詞+就+疑問詞」の用法。,,継続時間の表現／疑問詞+就+疑問詞,HSKsentences,573
574,3,他一个人把黑板搬走了。,tā yí ge rén bǎ hēibǎn bān zǒu le,彼は一人で黒板を運んで行った。,「越A越B」やA跟B一样で比較・程度を表す。,36,越A越B／A跟B一样,HSKsentences,574
575,1,在这里可以办理银行手续。,zài zhèlǐ kěyǐ bànlǐ yínháng shǒuxù,ここで銀行の手続きができる。,「A比B多一些」の比較表現や「才/就」のニュアンスの違い。,12,比較 A比B多一些／才と就,HSKsentences,575
576,3,黑板上写着字，用的是这块板。,"hēibǎn shàng xiězhe zì, yòng de shì zhè kuài bǎn",黒板に字が書いてある、使われているのはこの板だ。,「把」を使って目的語をどう処理するかを述べる構文。,,把構文,HSKsentences,576
577,3,保安负责保护大楼的安全。,bǎo'ān fùzé bǎohù dàlóu de ānquán,警備員はビルの安全を保護する責任がある。,同時進行の「一边~一边~」や「除了~以外~」の表現。,,一边～一边～／除了～以外～,HSKsentences,577
578,3,我们要保持环境整洁。,wǒmen yào bǎochí huánjìng zhěngjié,私たちは環境を清潔に保つべきだ。,仮定の「如果~的话」や原因・程度を表す「得」の用法。,,如果～的话／原因の得,HSKsentences,578
579,1,他保证会保存好这些资料。,tā bǎozhèng huì bǎocún hǎo zhèxiē zīliào,彼はこれらの資料をきちんと保存すると約束した。,条件を表す「只要~就~」「只有~才~」の構文。,13,只要～就～／只有～才～,HSKsentences,579
580,3,他决定保留这份保险。,tā juédìng bǎoliú zhè fèn bǎoxiǎn,彼はこの保険を保留することにした。,「被/叫/给/让」を使った受身表現。,,受身形 被叫给让,HSKsentences,580
581,3,新学生今天去学校报到。,xīn xuéshēng jīntiān qù xuéxiào bàodào,新入生は今日学校に登録に行く。,「一点都」で全否定、「打算」で予定を表す表現。,,一点都～／打算～,HSKsentences,581
582,3,记者报道了这条新闻。,jìzhě bàodào le zhè tiáo xīnwén,記者はこのニュースを報道した。,方向補語「来/去」や動作の連続を表す「就」の用法。,,補語 来去／就（連続動作）,HSKsentences,582
583,3,他写了一份报告。,tā xiěle yí fèn bàogào,彼は一つの報告書を書いた。,選択の「还是/或者」や「又~又~」「越来越~」の表現。,,还是と或者／又～又～／越来越～,HSKsentences,583
584,3,他报了一个学习班。,tā bào le yí ge xuéxíbān,彼は学習クラスに申し込んだ。,可能補語「~得~」や「刚才/刚刚」で直前の動作を表す。,,可能補語 得／刚才／刚刚,HSKsentences,584
585,3,他的背很疼，背后还背着包。,"tā de bèi hěn téng, bèihòu hái bēizhe bāo",彼の背中はとても痛く、背後にかばんを背負っている。,時間の長さを表す表現や「疑問詞+就+疑問詞」の用法。,,継続時間の表現／疑問詞+就+疑問詞,HSKsentences,585
586,2,他往北部走去。,tā wǎng běibù zǒu qù,彼は北部へ歩いて行った。,「越A越B」やA跟B一样で比較・程度を表す。,26,越A越B／A跟B一样,HSKsentences,586
587,3,晚上要盖被子睡觉。,wǎnshàng yào gài bèizi shuìjiào,夜は布団をかけて寝る。,「A比B多一些」の比較表現や「才/就」のニュアンスの違い。,40,比較 A比B多一些／才と就,HSKsentences,587
588,3,他被老师批评了。,tā bèi lǎoshī pīpíng le,彼は先生に叱られた。,「把」を使って目的語をどう処理するかを述べる構文。,40,把構文,HSKsentences,588
589,3,他本来就很有本领和本事。,tā běnlái jiù hěn yǒu běnlǐng hé běnshi,彼はもともととても腕前と手腕がある。,同時進行の「一边~一边~」や「除了~以外~」の表現。,,一边～一边～／除了～以外～,HSKsentences,589
590,3,这场比赛，胜利的比例比较高。,"zhè chǎng bǐsài, shènglì de bǐlì bǐjiào gāo",この試合は勝つ比率が比較的高い。,仮定の「如果~的话」や原因・程度を表す「得」の用法。,24,如果～的话／原因の得,HSKsentences,590
591,1,这是必然的结果，也是必要的。,"zhè shì bìrán de jiéguǒ, yě shì bìyào de",これは必然の結果であり、必要でもある。,条件を表す「只要~就~」「只有~才~」の構文。,13,只要～就～／只有～才～,HSKsentences,591
592,4,情况发生了变化，好事变为了坏事。,"qíngkuàng fāshēngle biànhuà, hǎoshì biànwéi le huàishì",状況に変化が起き、良いことが悪いことに変わった。,「被/叫/给/让」を使った受身表現。,68,受身形 被叫给让,HSKsentences,592
593,3,这篇文章的标题不符合标准。,zhè piān wénzhāng de biāotí bù fúhé biāozhǔn,この文章のタイトルは基準に合わない。,「一点都」で全否定、「打算」で予定を表す表現。,,一点都～／打算～,HSKsentences,593
594,3,他用表格表达了自己的想法。,tā yòng biǎogé biǎodá le zìjǐ de xiǎngfǎ,彼は表を使って自分の考えを表現した。,方向補語「来/去」や動作の連続を表す「就」の用法。,,補語 来去／就（連続動作）,HSKsentences,594
595,3,这只是表面现象，不能表明什么。,"zhè zhǐshì biǎomiàn xiànxiàng, bùnéng biǎomíng shénme",これは表面的な現象に過ぎず、何も示せない。,選択の「还是/或者」や「又~又~」「越来越~」の表現。,,还是と或者／又～又～／越来越～,HSKsentences,595
596,3,他的表演表现得很精彩。,tā de biǎoyǎn biǎoxiàn de hěn jīngcǎi,彼の演技はとても素晴らしかった。,可能補語「~得~」や「刚才/刚刚」で直前の動作を表す。,,可能補語 得／刚才／刚刚,HSKsentences,596
597,4,这个方法简单并且有效。,zhège fāngfǎ jiǎndān bìngqiě yǒuxiào,この方法は簡単でかつ有効だ。,時間の長さを表す表現や「疑問詞+就+疑問詞」の用法。,61,継続時間の表現／疑問詞+就+疑問詞,HSKsentences,597
598,4,他并不知道这件事。,tā bìng bù zhīdào zhè jiàn shì,彼はこのことを全く知らなかった。,「越A越B」やA跟B一样で比較・程度を表す。,53,越A越B／A跟B一样,HSKsentences,598
599,1,这个节目播出后，电视台反复播放。,"zhège jiémù bōchū hòu, diànshìtái fǎnfù bōfàng",この番組が放送された後、テレビ局は繰り返し再生した。,「A比B多一些」の比較表現や「才/就」のニュアンスの違い。,12,比較 A比B多一些／才と就,HSKsentences,599
600,3,不论发生什么，你都不必担心，我们会不断努力。,"búlùn fāshēng shénme, nǐ dōu búbì dānxīn, wǒmen huì búduàn nǔlì",何が起きても、心配する必要はなく、私たちは絶えず努力する。,「把」を使って目的語をどう処理するかを述べる構文。,,把構文,HSKsentences,600
601,3,他补充说明，还补了一句话。,"tā bǔchōng shuōmíng, hái bǔ le yí jù huà",彼は補足説明をし、さらに一言付け加えた。,同時進行の「一边~一边~」や「除了~以外~」の表現。,,一边～一边～／除了～以外～,HSKsentences,601
602,3,他心里不安，不得不重新考虑。,"tā xīnlǐ bù'ān, bùdébù chóngxīn kǎolǜ",彼は心が不安で、考え直さざるを得なかった。,仮定の「如果~的话」や原因・程度を表す「得」の用法。,,如果～的话／原因の得,HSKsentences,602
603,3,这不光是钱的问题，他不仅聪明，还很努力。,"zhè bùguāng shì qián de wèntí, tā bùjǐn cōngming, hái hěn nǔlì",これはお金だけの問題ではなく、彼は賢いだけでなく、努力家でもある。,条件を表す「只要~就~」「只有~才~」の構文。,,只要～就～／只有～才～,HSKsentences,603
604,3,这块布是用来做窗帘的一部分。,zhè kuài bù shì yònglái zuò chuānglián de yíbùfen,この布はカーテンの一部を作るのに使われる。,「被/叫/给/让」を使った受身表現。,,受身形 被叫给让,HSKsentences,604
605,3,部长走了几步，去了另一个部门。,"bùzhǎng zǒule jǐ bù, qùle lìng yí ge bùmén",部長は数歩歩いて、別の部門へ行った。,「一点都」で全否定、「打算」で予定を表す表現。,,一点都～／打算～,HSKsentences,605
606,3,只有采取行动，才能采用新方法。,"zhǐyǒu cǎiqǔ xíngdòng, cáinéng cǎiyòng xīn fāngfǎ",行動を取ってこそ、初めて新しい方法を採用できる。,方向補語「来/去」や動作の連続を表す「就」の用法。,39,補語 来去／就（連続動作）,HSKsentences,606
607,1,这张彩色照片是他曾经拍的。,zhè zhāng cǎisè zhàopiàn shì tā céngjīng pāi de,このカラー写真は彼がかつて撮ったものだ。,選択の「还是/或者」や「又~又~」「越来越~」の表現。,13,还是と或者／又～又～／越来越～,HSKsentences,607
608,3,长城的历史产生了很大的影响。,Chángchéng de lìshǐ chǎnshēngle hěn dà de yǐngxiǎng,万里の長城の歴史は大きな影響を生んだ。,可能補語「~得~」や「刚才/刚刚」で直前の動作を表す。,,可能補語 得／刚才／刚刚,HSKsentences,608
609,3,长期合作能发现彼此的长处。,chángqī hézuò néng fāxiàn bǐcǐ de chángchù,長期の協力は互いの長所を発見できる。,時間の長さを表す表現や「疑問詞+就+疑問詞」の用法。,,継続時間の表現／疑問詞+就+疑問詞,HSKsentences,609
610,3,工厂不是谈这个的场合，也不是合适的场所。,"gōngchǎng bú shì tán zhège de chǎnghé, yě bú shì héshì de chǎngsuǒ",工場はこれを話す場面ではなく、ふさわしい場所でもない。,「越A越B」やA跟B一样で比較・程度を表す。,2,越A越B／A跟B一样,HSKsentences,610
611,3,这是一家超级市场，朝东开门。,"zhè shì yì jiā chāojí shìchǎng, cháo dōng kāimén",これはスーパーマーケットで、東向きに入口がある。,「A比B多一些」の比較表現や「才/就」のニュアンスの違い。,,比較 A比B多一些／才と就,HSKsentences,611
612,3,他们又吵又吵架，声音越来越大。,"tāmen yòu chǎo yòu chǎojià, shēngyīn yuèláiyuè dà",彼らは騒がしくけんかをし、声がどんどん大きくなった。,「把」を使って目的語をどう処理するかを述べる構文。,,把構文,HSKsentences,612
613,2,他穿着一件白衬衫，衬衣很干净。,"tā chuānzhe yí jiàn bái chènshān, chènyī hěn gānjìng",彼は白いシャツを着ていて、シャツはとても清潔だ。,同時進行の「一边~一边~」や「除了~以外~」の表現。,26,一边～一边～／除了～以外～,HSKsentences,613
614,3,这次实验被称为一次成功，取得了很大成果。,"zhè cì shíyàn bèi chēngwéi yí cì chénggōng, qǔdéle hěn dà chéngguǒ",この実験は成功と呼ばれ、大きな成果を得た。,仮定の「如果~的话」や原因・程度を表す「得」の用法。,40,如果～的话／原因の得,HSKsentences,614
615,3,公司成立后取得了不少成就，也变得更成熟。,"gōngsī chénglì hòu qǔdéle bùshǎo chéngjiù, yě biànde gèng chéngshú",会社は設立後多くの実績を上げ、より成熟した。,条件を表す「只要~就~」「只有~才~」の構文。,32,只要～就～／只有～才～,HSKsentences,615
616,2,每个成员都在不断成长。,měi ge chéngyuán dōu zài búduàn chéngzhǎng,メンバー全員が絶えず成長している。,「被/叫/给/让」を使った受身表現。,15,受身形 被叫给让,HSKsentences,616
617,3,这座城市在某种程度上像一座古城。,zhè zuò chéngshì zài mǒu zhǒng chéngdù shàng xiàng yí zuò gǔchéng,この都市はある程度古い都のようだ。,「一点都」で全否定、「打算」で予定を表す表現。,,一点都～／打算～,HSKsentences,617
618,3,比赛持续了很久，全场充满了热情。,"bǐsài chíxùle hěn jiǔ, quánchǎng chōngmǎnle rèqíng",試合は長く続き、会場全体が熱気に満ちていた。,方向補語「来/去」や動作の連続を表す「就」の用法。,,補語 来去／就（連続動作）,HSKsentences,618
619,3,这本书很重。,zhè běn shū hěn zhòng,この本はとても重い。,選択の「还是/或者」や「又~又~」「越来越~」の表現。,,还是と或者／又～又～／越来越～,HSKsentences,619
620,3,他初来这里时很紧张。,tā chū lái zhèlǐ shí hěn jǐnzhāng,彼が初めてここに来た時はとても緊張していた。,可能補語「~得~」や「刚才/刚刚」で直前の動作を表す。,,可能補語 得／刚才／刚刚,HSKsentences,620
621,3,他刚上初中，学的都是初步和初级的内容。,"tā gāng shàng chūzhōng, xué de dōu shì chūbù hé chūjí de nèiróng",彼はちょうど中学に上がったばかりで、学ぶのは初歩的で初級の内容だ。,時間の長さを表す表現や「疑問詞+就+疑問詞」の用法。,,継続時間の表現／疑問詞+就+疑問詞,HSKsentences,621
622,1,除了处理这些文件，他还要开会。,"chúle chǔlǐ zhèxiē wénjiàn, tā hái yào kāihuì",これらの書類を処理する以外に、彼は会議にも出なければならない。,「越A越B」やA跟B一样で比較・程度を表す。,13,越A越B／A跟B一样,HSKsentences,622
623,3,远处传来消息，古老的传说正在传播。,"yuǎnchù chuánlái xiāoxi, gǔlǎo de chuánshuō zhèngzài chuánbō",遠くから知らせが伝わってきて、古い伝説が広まっている。,「A比B多一些」の比較表現や「才/就」のニュアンスの違い。,71,比較 A比B多一些／才と就,HSKsentences,623
624,3,这个故事一直传到现在。,zhège gùshi yìzhí chuán dào xiànzài,この話はずっと今まで伝わっている。,「把」を使って目的語をどう処理するかを述べる構文。,,把構文,HSKsentences,624
625,3,他靠创新和创业创造了新的创作。,tā kào chuàngxīn hé chuàngyè chuàngzàole xīn de chuàngzuò,彼は革新と起業によって新しい創作を生み出した。,同時進行の「一边~一边~」や「除了~以外~」の表現。,,一边～一边～／除了～以外～,HSKsentences,625
626,4,他从前从事教育工作，从来没有后悔过。,"tā cóngqián cóngshì jiàoyù gōngzuò, cónglái méiyǒu hòuhuǐguo",彼は以前教育の仕事に従事しており、これまで後悔したことがない。,仮定の「如果~的话」や原因・程度を表す「得」の用法。,41,如果～的话／原因の得,HSKsentences,626
627,3,这个问题确实存在。,zhège wèntí quèshí cúnzài,この問題は確かに存在する。,条件を表す「只要~就~」「只有~才~」の構文。,,只要～就～／只有～才～,HSKsentences,627
628,3,村里的老人把粮食存了起来。,cūnlǐ de lǎorén bǎ liángshi cún le qǐlái,村のお年寄りは食糧を蓄えた。,「被/叫/给/让」を使った受身表現。,36,受身形 被叫给让,HSKsentences,628
629,3,他达到了目标，改正了错误。,"tā dádàole mùbiāo, gǎizhèngle cuòwù",彼は目標を達成し、間違いを正した。,「一点都」で全否定、「打算」で予定を表す表現。,,一点都～／打算～,HSKsentences,629
630,3,他打破了纪录，大家都来打听消息。,"tā dǎpòle jìlù, dàjiā dōu lái dǎtīng xiāoxi",彼は記録を破り、みんなが知らせを聞きに来た。,方向補語「来/去」や動作の連続を表す「就」の用法。,,補語 来去／就（連続動作）,HSKsentences,630
631,3,大使馆大概十点开门，他大约十点到。,"dàshǐguǎn dàgài shí diǎn kāimén, tā dàyuē shí diǎn dào",大使館はだいたい10時に開く、彼はおよそ10時に着く。,選択の「还是/或者」や「又~又~」「越来越~」の表現。,,还是と或者／又～又～／越来越～,HSKsentences,631
632,3,这位大夫代表代表团发言。,zhè wèi dàifu dàibiǎo dàibiǎotuán fāyán,この医師は代表団を代表して発言した。,可能補語「~得~」や「刚才/刚刚」で直前の動作を表す。,,可能補語 得／刚才／刚刚,HSKsentences,632
633,3,这是上一代人的记忆。,zhè shì shàng yí dài rén de jìyì,これは前の世代の人々の記憶だ。,時間の長さを表す表現や「疑問詞+就+疑問詞」の用法。,,継続時間の表現／疑問詞+就+疑問詞,HSKsentences,633
634,3,老师带领大家学习，带动了大家的积极性。,"lǎoshī dàilǐng dàjiā xuéxí, dàidòngle dàjiā de jījíxìng",先生はみんなを導いて学ばせ、みんなの積極性を引き出した。,「越A越B」やA跟B一样で比較・程度を表す。,,越A越B／A跟B一样,HSKsentences,634
635,3,这是这本书的第一单元。,zhè shì zhè běn shū de dì yī dānyuán,これはこの本の第一課だ。,「A比B多一些」の比較表現や「才/就」のニュアンスの違い。,,比較 A比B多一些／才と就,HSKsentences,635
636,3,当初我们没想到会来这里。,dāngchū wǒmen méi xiǎngdào huì lái zhèlǐ,当初、私たちはここに来るとは思わなかった。,「把」を使って目的語をどう処理するかを述べる構文。,,把構文,HSKsentences,636
637,3,当地人当然了解当地文化。,dāngdì rén dāngrán liǎojiě dāngdì wénhuà,地元の人は当然地元の文化を理解している。,同時進行の「一边~一边~」や「除了~以外~」の表現。,,一边～一边～／除了～以外～,HSKsentences,637
638,1,这些人当中，有一个是我朋友。,"zhèxiē rén dāngzhōng, yǒu yí ge shì wǒ péngyou",これらの人の中に、一人は私の友達だ。,仮定の「如果~的话」や原因・程度を表す「得」の用法。,13,如果～的话／原因の得,HSKsentences,638
639,4,导演到底到达了没有？,dǎoyǎn dàodǐ dàodá le méiyǒu,監督は結局到着したのか？,条件を表す「只要~就~」「只有~才~」の構文。,67,只要～就～／只有～才～,HSKsentences,639
640,3,厨房里有一把刀。,chúfáng lǐ yǒu yì bǎ dāo,台所に包丁が一本ある。,「被/叫/给/让」を使った受身表現。,,受身形 被叫给让,HSKsentences,640
641,3,大家都在等待球队得分。,dàjiā dōu zài děngdài qiúduì défēn,みんなチームの得点を待っている。,「一点都」で全否定、「打算」で予定を表す表現。,,一点都～／打算～,HSKsentences,641
642,3,桌子底下有一张地区地图。,zhuōzi dǐxia yǒu yì zhāng dìqū dìtú,机の下に地域の地図が一枚ある。,方向補語「来/去」や動作の連続を表す「就」の用法。,,補語 来去／就（連続動作）,HSKsentences,642
643,1,这部电视剧是电视台拍的。,zhè bù diànshìjù shì diànshìtái pāi de,このテレビドラマはテレビ局が撮ったものだ。,選択の「还是/或者」や「又~又~」「越来越~」の表現。,13,还是と或者／又～又～／越来越～,HSKsentences,643
644,1,他喜欢听电台节目。,tā xǐhuan tīng diàntái jiémù,彼はラジオ局の番組を聞くのが好きだ。,可能補語「~得~」や「刚才/刚刚」で直前の動作を表す。,11,可能補語 得／刚才／刚刚,HSKsentences,644
645,3,请把文件发到我的电子邮件。,qǐng bǎ wénjiàn fā dào wǒ de diànzǐyóujiàn,ファイルを私のメールに送ってください。,時間の長さを表す表現や「疑問詞+就+疑問詞」の用法。,36,継続時間の表現／疑問詞+就+疑問詞,HSKsentences,645
646,3,他被调到了新部门。,tā bèi diào dào le xīn bùmén,彼は新しい部門に異動させられた。,「越A越B」やA跟B一样で比較・程度を表す。,40,越A越B／A跟B一样,HSKsentences,646
647,3,公司做了市场调查。,gōngsī zuòle shìchǎng diàochá,会社は市場調査を行った。,「A比B多一些」の比較表現や「才/就」のニュアンスの違い。,,比較 A比B多一些／才と就,HSKsentences,647
648,1,这个话题是关于现代化和话剧的。,zhège huàtí shì guānyú xiàndàihuà hé huàjù de,この話題は近代化と演劇についてだ。,「把」を使って目的語をどう処理するかを述べる構文。,13,把構文,HSKsentences,648
649,3,大家欢乐地参加了环保活动。,dàjiā huānlè de cānjiāle huánbǎo huódòng,みんなは楽しく環境保護活動に参加した。,同時進行の「一边~一边~」や「除了~以外~」の表現。,,一边～一边～／除了～以外～,HSKsentences,649
650,3,保护环境是重要的一环。,bǎohù huánjìng shì zhòngyào de yì huán,環境を守ることは重要な一環だ。,仮定の「如果~的话」や原因・程度を表す「得」の用法。,,如果～的话／原因の得,HSKsentences,650
651,3,会议上，新会员做了自我介绍。,"huìyì shàng, xīn huìyuán zuòle zìwǒ jièshào",会議で、新会員が自己紹介をした。,条件を表す「只要~就~」「只有~才~」の構文。,,只要～就～／只有～才～,HSKsentences,651
652,3,他一直活到九十岁。,tā yìzhí huó dào jiǔshí suì,彼はずっと90歳まで生きた。,「被/叫/给/让」を使った受身表現。,,受身形 被叫给让,HSKsentences,652
653,3,厨房里有火。,chúfáng lǐ yǒu huǒ,台所に火がある。,「一点都」で全否定、「打算」で予定を表す表現。,,一点都～／打算～,HSKsentences,653
654,3,这台机器坏了。,zhè tái jīqì huài le,この機械は壊れた。,方向補語「来/去」や動作の連続を表す「就」の用法。,,補語 来去／就（連続動作）,HSKsentences,654
655,3,他基本上很积极，打好了基础。,"tā jīběnshàng hěn jījí, dǎhǎole jīchǔ",彼は基本的にとても積極的で、基礎を固めた。,選択の「还是/或者」や「又~又~」「越来越~」の表現。,,还是と或者／又～又～／越来越～,HSKsentences,655
656,1,这个消息太及时了，集体反应好极了。,"zhège xiāoxi tài jíshí le, jítǐ fǎnyìng hǎo jíle",この知らせはとてもタイムリーで、集団の反応が最高だった。,可能補語「~得~」や「刚才/刚刚」で直前の動作を表す。,10,可能補語 得／刚才／刚刚,HSKsentences,656
657,1,请集中精力计算这道题。,qǐng jízhōng jīnglì jìsuàn zhè dào tí,集中してこの問題を計算してください。,時間の長さを表す表現や「疑問詞+就+疑問詞」の用法。,8,継続時間の表現／疑問詞+就+疑問詞,HSKsentences,657
658,3,记者记录了这项新纪录，作为纪念。,"jìzhě jìlùle zhè xiàng xīn jìlù, zuòwéi jìniàn",記者はこの新記録を記録し、記念とした。,「越A越B」やA跟B一样で比較・程度を表す。,,越A越B／A跟B一样,HSKsentences,658
659,3,这项技术会继续发展。,zhè xiàng jìshù huì jìxù fāzhǎn,この技術は発展し続けるだろう。,「A比B多一些」の比較表現や「才/就」のニュアンスの違い。,,比較 A比B多一些／才と就,HSKsentences,659
660,3,工厂加快了加工速度，也加强了管理。,"gōngchǎng jiākuàile jiāgōng sùdù, yě jiāqiángle guǎnlǐ",工場は加工速度を速め、管理も強化した。,「把」を使って目的語をどう処理するかを述べる構文。,2,把構文,HSKsentences,660
661,3,他把家乡的家具寄给了家属。,tā bǎ jiāxiāng de jiājù jì gěi le jiāshǔ,彼は故郷の家具を家族に送った。,同時進行の「一边~一边~」や「除了~以外~」の表現。,36,一边～一边～／除了～以外～,HSKsentences,661
662,3,这件东西的价格和价钱都不便宜，但很有价值。,"zhè jiàn dōngxi de jiàgé hé jiàqián dōu bù piányi, dàn hěn yǒu jiàzhí",この物の値段はどちらも安くないが、とても価値がある。,仮定の「如果~的话」や原因・程度を表す「得」の用法。,,如果～的话／原因の得,HSKsentences,662
663,3,她坚持坚强，坚决把书架搬走。,"tā jiānchí jiānqiáng, jiānjué bǎ shūjià bān zǒu",彼女は強く堅持し、断固として本棚を運んで行った。,条件を表す「只要~就~」「只有~才~」の構文。,36,只要～就～／只有～才～,HSKsentences,663
664,1,这道题简直太简单了。,zhè dào tí jiǎnzhí tài jiǎndān le,この問題は本当に簡単すぎる。,「被/叫/给/让」を使った受身表現。,10,受身形 被叫给让,HSKsentences,664
665,4,他建议建立一个新公司，建设并建成了它。,"tā jiànyì jiànlì yí ge xīn gōngsī, jiànshè bìng jiànchéngle tā",彼は新しい会社を設立することを提案し、建設して完成させた。,「一点都」で全否定、「打算」で予定を表す表現。,53,一点都～／打算～,HSKsentences,665
666,3,将来，人口将近会增长一倍。,"jiānglái, rénkǒu jiāngjìn huì zēngzhǎng yí bèi",将来、人口はもうすぐ倍増するだろう。,方向補語「来/去」や動作の連続を表す「就」の用法。,,補語 来去／就（連続動作）,HSKsentences,666
667,3,去银行交费很方便。,qù yínháng jiāofèi hěn fāngbiàn,銀行に行って支払うのはとても便利だ。,選択の「还是/或者」や「又~又~」「越来越~」の表現。,,还是と或者／又～又～／越来越～,HSKsentences,667
668,3,交警在路口指挥交通。,jiāojǐng zài lùkǒu zhǐhuī jiāotōng,交通警察は交差点で交通整理をしている。,可能補語「~得~」や「刚才/刚刚」で直前の動作を表す。,,可能補語 得／刚才／刚刚,HSKsentences,668
669,2,他们经常交流，交往了很久。,"tāmen jīngcháng jiāoliú, jiāowǎngle hěn jiǔ",彼らはよく交流し、長く付き合っている。,時間の長さを表す表現や「疑問詞+就+疑問詞」の用法。,26,継続時間の表現／疑問詞+就+疑問詞,HSKsentences,669
670,3,这笔交易很成功。,zhè bǐ jiāoyì hěn chénggōng,この取引はとても成功した。,「越A越B」やA跟B一样で比較・程度を表す。,,越A越B／A跟B一样,HSKsentences,670
671,3,教练比较严格，教材也叫他好好学。,"jiàoliàn bǐjiào yángé, jiàocái yě jiào tā hǎohǎo xué",コーチは比較的厳しく、教材も彼にしっかり学ぶよう求めている。,「A比B多一些」の比較表現や「才/就」のニュアンスの違い。,24,比較 A比B多一些／才と就,HSKsentences,671
672,3,接待员的身体很结实，接近下班时间了。,"jiēdàiyuán de shēntǐ hěn jiēshi, jiējìn xiàbān shíjiān le",受付係の体はとても丈夫で、退勤時間が近づいた。,「把」を使って目的語をどう処理するかを述べる構文。,,把構文,HSKsentences,672
673,3,他们结婚后很节约，把生活结合得很好。,"tāmen jiéhūn hòu hěn jiéyuē, bǎ shēnghuó jiéhé de hěn hǎo",彼らは結婚後とても節約し、生活をうまく結びつけた。,同時進行の「一边~一边~」や「除了~以外~」の表現。,36,一边～一边～／除了～以外～,HSKsentences,673
674,3,问题结束前，他先解开了误会，解决了矛盾。,"wèntí jiéshù qián, tā xiān jiěkāile wùhuì, jiějuéle máodùn",問題が終わる前に、彼はまず誤解を解き、矛盾を解決した。,仮定の「如果~的话」や原因・程度を表す「得」の用法。,,如果～的话／原因の得,HSKsentences,674
675,3,他拿到了金牌。,tā nádàole jīnpái,彼は金メダルを取った。,条件を表す「只要~就~」「只有~才~」の構文。,,只要～就～／只有～才～,HSKsentences,675
676,2,这仅仅是开始，尽量不要放弃。,"zhè jǐnjǐn shì kāishǐ, jǐnliàng búyào fàngqì",これはほんの始まりに過ぎず、できるだけ諦めないように。,「被/叫/给/让」を使った受身表現。,23,受身形 被叫给让,HSKsentences,676
