id,hanzi,pinyin,meaning_ja,hsk_level,source_site
1099,行人,xíngrén,歩行者,2,HSKpractice_exercises
1100,行为,xíngwéi,行為,2,HSKpractice_exercises
1101,姓,xìng,姓,2,HSKpractice_exercises
1102,姓名,xìngmíng,氏名,2,HSKpractice_exercises
1103,休假,xiūjià,休暇を取る,2,HSKpractice_exercises
1104,许多,xǔduō,たくさんの,2,HSKpractice_exercises
1105,选,xuǎn,選ぶ,2,HSKpractice_exercises
1106,学期,xuéqī,学期,2,HSKpractice_exercises
1107,雪,xuě,雪,2,HSKpractice_exercises
1108,颜色,yánsè,色,2,HSKpractice_exercises
1109,眼,yǎn,目,2,HSKpractice_exercises
1110,眼睛,yǎnjing,目,2,HSKpractice_exercises
1111,养,yǎng,育てる,2,HSKpractice_exercises
1112,样子,yàngzi,様子、感じ,2,HSKpractice_exercises
1113,要求,yāoqiú,要求する,2,HSKpractice_exercises
1114,药,yào,薬,2,HSKpractice_exercises
1115,药店,yàodiàn,薬局,2,HSKpractice_exercises
1116,药片,yàopiàn,錠剤,2,HSKpractice_exercises
1117,药水,yàoshuǐ,水薬,2,HSKpractice_exercises
1118,也许,yěxǔ,もしかしたら,2,HSKpractice_exercises
1119,夜,yè,夜,2,HSKpractice_exercises
1120,夜里,yèli,夜中,2,HSKpractice_exercises
1121,一部分,yībùfèn,一部分,2,HSKpractice_exercises
1122,一定,yídìng,必ず、きっと,2,HSKpractice_exercises
1123,一共,yīgòng,全部で,2,HSKpractice_exercises
1124,一路平安,yílù píng'ān,道中ご無事に,2,HSKpractice_exercises
1125,一路顺风,yílù shùnfēng,道中ご安全に,2,HSKpractice_exercises
1126,已经,yǐjīng,すでに,2,HSKpractice_exercises
1127,以后,yǐhòu,〜以後、これから,2,HSKpractice_exercises
1128,以前,yǐqián,以前,2,HSKpractice_exercises
1129,以上,yǐshàng,以上,2,HSKpractice_exercises
1130,以外,yǐwài,以外,2,HSKpractice_exercises
1131,以为,yǐwéi,〜と思う(実際は違う場合),2,HSKpractice_exercises
1132,以下,yǐxià,以下,2,HSKpractice_exercises
1133,椅子,yǐzi,椅子,2,HSKpractice_exercises
1134,一般,yìbān,普段、一般的に,2,HSKpractice_exercises
1135,一点点,yìdiǎndiǎn,少しだけ,2,HSKpractice_exercises
1136,一生,yìshēng,一生,2,HSKpractice_exercises
1137,一直,yìzhí,ずっと,2,HSKpractice_exercises
1138,亿,yì,億,2,HSKpractice_exercises
1139,意见,yìjiàn,意見,2,HSKpractice_exercises
1140,意思,yìsi,意味,2,HSKpractice_exercises
1141,因为,yīnwèi,なぜなら,2,HSKpractice_exercises
1142,阴,yīn,曇り,2,HSKpractice_exercises
1143,阴天,yīntiān,曇りの日,2,HSKpractice_exercises
1144,音节,yīnjié,音節,2,HSKpractice_exercises
1145,音乐,yīnyuè,音楽,2,HSKpractice_exercises
1146,音乐会,yīnyuèhuì,音楽会,2,HSKpractice_exercises
1147,银行,yínháng,銀行,2,HSKpractice_exercises
1148,银行卡,yínhángkǎ,銀行カード,2,HSKpractice_exercises
1149,应该,yīnggāi,〜すべきだ,2,HSKpractice_exercises
1150,英文,Yīngwén,英語,2,HSKpractice_exercises
1151,英语,yīngyǔ,英語,2,HSKpractice_exercises
1152,影片,yǐngpiàn,映画,2,HSKpractice_exercises
1153,影响,yǐngxiǎng,影響する,2,HSKpractice_exercises
1154,永远,yǒngyuǎn,永遠に,2,HSKpractice_exercises
1155,油,yóu,油,2,HSKpractice_exercises
1156,游客,yóukè,観光客,2,HSKpractice_exercises
1157,友好,yǒuhǎo,友好的,2,HSKpractice_exercises
1158,有空儿,yǒu kòngr,暇がある,2,HSKpractice_exercises
1159,有人,yǒurén,人がいる,2,HSKpractice_exercises
1160,有点儿,yǒudiǎnr,少し,2,HSKpractice_exercises
1161,有意思,yǒuyìsi,面白い,2,HSKpractice_exercises
1162,又,yòu,また,2,HSKpractice_exercises
1163,鱼,yú,魚,2,HSKpractice_exercises
1164,语言,yǔyán,言語,2,HSKpractice_exercises
1165,原来,yuánlái,もともと,2,HSKpractice_exercises
1166,原因,yuányīn,原因,2,HSKpractice_exercises
1167,院,yuàn,庭・機関,2,HSKpractice_exercises
1168,院长,yuànzhǎng,院長,2,HSKpractice_exercises
1169,院子,yuànzi,庭,2,HSKpractice_exercises
1170,愿意,yuànyì,〜したいと思う、望む,2,HSKpractice_exercises
1171,月份,yuèfèn,月,2,HSKpractice_exercises
1172,月亮,yuèliang,月,2,HSKpractice_exercises
1173,越,yuè,ますます,2,HSKpractice_exercises
1174,越来越,yuèláiyuè,ますます,2,HSKpractice_exercises
1175,云,yún,雲,2,HSKpractice_exercises
1176,运动,yùndòng,運動、スポーツ,2,HSKpractice_exercises
1177,咱,zán,私たち,2,HSKpractice_exercises
1178,咱们,zánmen,私たち,2,HSKpractice_exercises
1179,脏,zāng,汚い,2,HSKpractice_exercises
1180,早餐,zǎocān,朝食,2,HSKpractice_exercises
1181,早晨,zǎochén,朝,2,HSKpractice_exercises
1182,早就,zǎojiù,とっくに,2,HSKpractice_exercises
1183,怎么办,zěnmebàn,どうしよう,2,HSKpractice_exercises
1184,怎么样,zěnmeyàng,どうですか,2,HSKpractice_exercises
1185,怎样,zěnyàng,どのように,2,HSKpractice_exercises
1186,占,zhàn,占める、場所を取る,2,HSKpractice_exercises
1187,站住,zhànzhù,立ち止まる,2,HSKpractice_exercises
1188,长大,zhǎngdà,成長する,2,HSKpractice_exercises
1189,找出,zhǎochū,見つけ出す,2,HSKpractice_exercises
1190,照顾,zhàogù,世話をする、大事にする,2,HSKpractice_exercises
1191,照片,zhàopiān,写真,2,HSKpractice_exercises
1192,照相,zhàoxiàng,写真を撮る,2,HSKpractice_exercises
1193,这么,zhème,こんなに、このように,2,HSKpractice_exercises
1194,这时候,zhè shíhou,この時,2,HSKpractice_exercises
1195,这样,zhèyàng,このように,2,HSKpractice_exercises
1196,真正,zhēnzhèng,本当の、真の,2,HSKpractice_exercises
1197,正常,zhèngcháng,正常,2,HSKpractice_exercises
1198,正好,zhènghǎo,ちょうど良い,2,HSKpractice_exercises
1199,正确,zhèngquè,正しい,2,HSKpractice_exercises
1200,正是,zhèngshì,まさに,2,HSKpractice_exercises
1201,直接,zhíjiē,直接,2,HSKpractice_exercises
1202,只,zhǐ,ただ〜だけ,2,HSKpractice_exercises
1203,只能,zhǐnéng,〜するしかない,2,HSKpractice_exercises
1204,只要,zhǐyào,〜さえすれば,2,HSKpractice_exercises
1205,纸,zhǐ,紙,2,HSKpractice_exercises
1206,中餐,zhōngcān,中華料理,2,HSKpractice_exercises
1207,中级,zhōngjí,中級,2,HSKpractice_exercises
1208,中年,zhōngnián,中年,2,HSKpractice_exercises
1209,中小学,zhōngxiǎoxué,小中学校,2,HSKpractice_exercises
1210,中心,zhōngxīn,中心,2,HSKpractice_exercises
1211,中医,zhōngyī,中医学,2,HSKpractice_exercises
1212,重点,zhòngdiǎn,重点,2,HSKpractice_exercises
1213,重视,zhòngshì,重視する,2,HSKpractice_exercises
1214,周,zhōu,週,2,HSKpractice_exercises
1215,周末,zhōumò,週末,2,HSKpractice_exercises
1216,周年,zhōunián,周年,2,HSKpractice_exercises
1217,主人,zhǔrén,主人,2,HSKpractice_exercises
1218,主要,zhǔyào,主に,2,HSKpractice_exercises
1219,住房,zhùfáng,住宅,2,HSKpractice_exercises
1220,住院,zhùyuàn,入院する,2,HSKpractice_exercises
1221,装,zhuāng,装う・詰める,2,HSKpractice_exercises
1222,准确,zhǔnquè,正確だ,2,HSKpractice_exercises
1223,自己,zìjǐ,自分自身,2,HSKpractice_exercises
1224,自行车,zìxíngchē,自転車,2,HSKpractice_exercises
1225,自由,zìyóu,自由,2,HSKpractice_exercises
1226,字典,zìdiǎn,辞典,2,HSKpractice_exercises
1227,走过,zǒuguò,通り過ぎる,2,HSKpractice_exercises
1228,走进,zǒujìn,歩いて入る,2,HSKpractice_exercises
1229,走开,zǒukāi,立ち去る,2,HSKpractice_exercises
1230,租,zū,賃借する,2,HSKpractice_exercises
1231,组,zǔ,グループ,2,HSKpractice_exercises
1232,组成,zǔchéng,構成する,2,HSKpractice_exercises
1233,组长,zǔzhǎng,班長,2,HSKpractice_exercises
1234,嘴,zuǐ,口,2,HSKpractice_exercises
1235,最近,zuìjìn,最近,2,HSKpractice_exercises
1236,作家,zuòjiā,作家,2,HSKpractice_exercises
1237,作文,zuòwén,作文,2,HSKpractice_exercises
1238,作业,zuòyè,宿題、課題,2,HSKpractice_exercises
1239,作用,zuòyòng,作用,2,HSKpractice_exercises
1240,座,zuò,席,2,HSKpractice_exercises
1241,做到,zuòdào,やり遂げる,2,HSKpractice_exercises
1242,做法,zuòfǎ,やり方,2,HSKpractice_exercises
1243,做饭,zuòfàn,料理を作る,2,HSKpractice_exercises
1244,爱心,àixīn,思いやりの心,3,HSKpractice_exercises
1245,安排,ānpái,手配、スケジュール,3,HSKpractice_exercises
1246,安装,ānzhuāng,取り付ける,3,HSKpractice_exercises
1247,按,àn,押す・〜に基づいて,3,HSKpractice_exercises
1248,按照,ànzhào,〜に従って,3,HSKpractice_exercises
1249,把,bǎ,〜を(把構文)・取っ手,3,HSKpractice_exercises
1250,把握,bǎwò,把握する,3,HSKpractice_exercises
1251,白菜,báicài,白菜,3,HSKpractice_exercises
1252,班级,bānjí,クラス,3,HSKpractice_exercises
1253,搬,bān,運ぶ,3,HSKpractice_exercises
1254,搬家,bānjiā,引っ越す,3,HSKpractice_exercises
1255,板,bǎn,板,3,HSKpractice_exercises
1256,办理,bànlǐ,手続きする,3,HSKpractice_exercises
1257,保,bǎo,保つ,3,HSKpractice_exercises
1258,保安,bǎo'ān,警備員,3,HSKpractice_exercises
1259,保持,bǎochí,保つ,3,HSKpractice_exercises
1260,保存,bǎocún,保存する,3,HSKpractice_exercises
1261,保护,bǎohù,保護する,3,HSKpractice_exercises
1262,保留,bǎoliú,保留する,3,HSKpractice_exercises
1263,保险,bǎoxiǎn,保険,3,HSKpractice_exercises
1264,保证,bǎozhèng,保証する,3,HSKpractice_exercises
1265,报,bào,新聞・知らせる,3,HSKpractice_exercises
1266,报到,bàodào,到着を報告する,3,HSKpractice_exercises
1267,报道,bàodào,報道,3,HSKpractice_exercises
1268,报告,bàogào,レポート,3,HSKpractice_exercises
1269,北部,běibù,北部,3,HSKpractice_exercises
1270,背后,bèihòu,背後,3,HSKpractice_exercises
1271,被,bèi,〜される,3,HSKpractice_exercises
1272,被子,bèizi,掛け布団,3,HSKpractice_exercises
1273,本来,běnlái,もともと,3,HSKpractice_exercises
1274,本领,běnlǐng,腕前,3,HSKpractice_exercises
1275,本事,běnshi,能力,3,HSKpractice_exercises
1276,比较,bǐjiào,比較的,3,HSKpractice_exercises
1277,比例,bǐlì,割合,3,HSKpractice_exercises
1278,比赛,bǐsài,試合,3,HSKpractice_exercises
1279,必然,bìrán,必然,3,HSKpractice_exercises
1280,必要,bìyào,必要,3,HSKpractice_exercises
1281,变化,biànhuà,変化,3,HSKpractice_exercises
1282,变为,biànwéi,〜に変わる,3,HSKpractice_exercises
1283,标题,biāotí,見出し、タイトル,3,HSKpractice_exercises
1284,标准,biāozhǔn,基準,3,HSKpractice_exercises
1285,表达,biǎodá,表現する,3,HSKpractice_exercises
1286,表格,biǎogé,用紙、フォーム,3,HSKpractice_exercises
1287,表面,biǎomiàn,表面,3,HSKpractice_exercises
1288,表明,biǎomíng,表明する,3,HSKpractice_exercises
1289,表现,biǎoxiàn,表現・振る舞い,3,HSKpractice_exercises
1290,表演,biǎoyǎn,演技する,3,HSKpractice_exercises
1291,并,bìng,さらに,3,HSKpractice_exercises
1292,并且,bìngqiě,かつ,3,HSKpractice_exercises
1293,播出,bōchū,放送する,3,HSKpractice_exercises
1294,播放,bōfàng,放送する,3,HSKpractice_exercises
1295,不必,búbì,〜する必要はない,3,HSKpractice_exercises
1296,不断,bùduàn,絶えず,3,HSKpractice_exercises
1297,不论,búlùn,〜にかかわらず,3,HSKpractice_exercises
1298,补,bǔ,補う,3,HSKpractice_exercises
1299,补充,bǔchōng,補足する,3,HSKpractice_exercises
1300,不安,bù'ān,不安,3,HSKpractice_exercises
1301,不得不,bùdébù,〜せざるを得ない,3,HSKpractice_exercises
1302,不光,bùguāng,〜だけでなく,3,HSKpractice_exercises
1303,不仅,bùjǐn,〜だけでなく,3,HSKpractice_exercises
1304,布,bù,布,3,HSKpractice_exercises
1305,步,bù,歩み,3,HSKpractice_exercises
1306,部,bù,部・部門,3,HSKpractice_exercises
1307,部门,bùmén,部署,3,HSKpractice_exercises
1308,部长,bùzhǎng,部長,3,HSKpractice_exercises
1309,才能,cáinéng,〜してこそ〜できる（才+能の組み合わせ、名詞の「才能」とは別）,3,HSKpractice_exercises
1310,采取,cǎiqǔ,採る、講じる,3,HSKpractice_exercises
1311,采用,cǎiyòng,採用する,3,HSKpractice_exercises
1312,彩色,cǎisè,カラー,3,HSKpractice_exercises
1313,曾经,céngjīng,かつて,3,HSKpractice_exercises
1314,产生,chǎnshēng,生じる,3,HSKpractice_exercises
1315,长城,Chángchéng,万里の長城,3,HSKpractice_exercises
1316,长处,chángchu,長所,3,HSKpractice_exercises
1317,长期,chángqī,長期,3,HSKpractice_exercises
1318,厂,chǎng,工場,3,HSKpractice_exercises
1319,场合,chǎnghé,場合,3,HSKpractice_exercises
1320,场所,chǎngsuǒ,場所,3,HSKpractice_exercises
1321,超级,chāojí,超・スーパー,3,HSKpractice_exercises
1322,朝,cháo,〜に向かって,3,HSKpractice_exercises
1323,吵,chǎo,うるさい,3,HSKpractice_exercises
1324,吵架,chǎojià,喧嘩する,3,HSKpractice_exercises
1325,衬衫,chènshān,シャツ,3,HSKpractice_exercises
1326,衬衣,chènyī,シャツ,3,HSKpractice_exercises
1327,称为,chēngwéi,〜と呼ばれる,3,HSKpractice_exercises
1328,成功,chénggōng,成功する,3,HSKpractice_exercises
1329,成果,chéngguǒ,成果,3,HSKpractice_exercises
1330,成就,chéngjiù,成し遂げる・業績,3,HSKpractice_exercises
1331,成立,chénglì,成立する,3,HSKpractice_exercises
1332,成熟,chéngshú,成熟する,3,HSKpractice_exercises
1333,成员,chéngyuán,メンバー,3,HSKpractice_exercises
1334,成长,chéngzhǎng,成長する,3,HSKpractice_exercises
1335,城,chéng,町・城,3,HSKpractice_exercises
1336,城市,chéngshì,都市,3,HSKpractice_exercises
1337,程度,chéngdù,程度,3,HSKpractice_exercises
1338,持续,chíxù,持続する,3,HSKpractice_exercises
1339,充满,chōngmǎn,満ちる,3,HSKpractice_exercises
1340,初,chū,初め,3,HSKpractice_exercises
1341,初步,chūbù,初歩の,3,HSKpractice_exercises
1342,初级,chūjí,初級,3,HSKpractice_exercises
1343,初中,chūzhōng,中学校,3,HSKpractice_exercises
1344,除了,chúle,〜を除いて,3,HSKpractice_exercises
1345,处理,chǔlǐ,処理する,3,HSKpractice_exercises
1346,传,chuán,伝える,3,HSKpractice_exercises
1347,传播,chuánbō,伝播する,3,HSKpractice_exercises
1348,传来,chuánlái,伝わってくる,3,HSKpractice_exercises
1349,传说,chuánshuō,伝説,3,HSKpractice_exercises
1350,创新,chuàngxīn,革新する,3,HSKpractice_exercises
1351,创业,chuàngyè,起業する,3,HSKpractice_exercises
1352,创造,chuàngzào,創造する,3,HSKpractice_exercises
1353,创作,chuàngzuò,創作する,3,HSKpractice_exercises
1354,从来,cónglái,これまで,3,HSKpractice_exercises
1355,从前,cóngqián,以前,3,HSKpractice_exercises
1356,从事,cóngshì,従事する,3,HSKpractice_exercises
1357,村,cūn,村,3,HSKpractice_exercises
1358,存,cún,保存する・蓄える,3,HSKpractice_exercises
1359,存在,cúnzài,存在する,3,HSKpractice_exercises
1360,错误,cuòwù,間違い,3,HSKpractice_exercises
1361,达到,dádào,達成する,3,HSKpractice_exercises
1362,打破,dǎpò,打ち破る,3,HSKpractice_exercises
1363,打听,dǎting,尋ねる,3,HSKpractice_exercises
1364,大概,dàgài,だいたい、おそらく,3,HSKpractice_exercises
1365,大使馆,dàshǐguǎn,大使館,3,HSKpractice_exercises
1366,大约,dàyuē,おおよそ,3,HSKpractice_exercises
1367,大夫,dàifu,医者,3,HSKpractice_exercises
1368,代,dài,代わる・時代,3,HSKpractice_exercises
1369,代表,dàibiǎo,代表する,3,HSKpractice_exercises
1370,代表团,dàibiǎotuán,代表団,3,HSKpractice_exercises
1371,带动,dàidòng,引っ張る・促進する,3,HSKpractice_exercises
1372,带领,dàilǐng,率いる,3,HSKpractice_exercises
1373,单元,dānyuán,ユニット,3,HSKpractice_exercises
1374,当初,dāngchū,当初,3,HSKpractice_exercises
1375,当地,dāngdì,現地,3,HSKpractice_exercises
1376,当然,dāngrán,もちろん,3,HSKpractice_exercises
1377,当中,dāngzhōng,その中,3,HSKpractice_exercises
1378,刀,dāo,ナイフ,3,HSKpractice_exercises
1379,导演,dǎoyǎn,監督,3,HSKpractice_exercises
1380,到达,dàodá,到達する,3,HSKpractice_exercises
1381,到底,dàodǐ,一体・結局,3,HSKpractice_exercises
1382,得分,défēn,得点する,3,HSKpractice_exercises
1383,等待,děngdài,待つ,3,HSKpractice_exercises
1384,底下,dǐxia,下,3,HSKpractice_exercises
1385,地区,dìqū,地域,3,HSKpractice_exercises
1386,电视剧,diànshìjù,テレビドラマ,3,HSKpractice_exercises
1387,电视台,diànshìtái,テレビ局,3,HSKpractice_exercises
1388,电台,diàntái,ラジオ局,3,HSKpractice_exercises
1389,电子邮件,diànzǐ yóujiàn,電子メール,3,HSKpractice_exercises
1390,调,tiáo,調整する,3,HSKpractice_exercises
1391,调查,diàochá,調査する,3,HSKpractice_exercises
1392,订,dìng,予約する,3,HSKpractice_exercises
1393,定期,dìngqī,定期的な,3,HSKpractice_exercises
1394,东部,dōngbù,東部,3,HSKpractice_exercises
1395,动力,dònglì,動力,3,HSKpractice_exercises
1396,动人,dòngrén,感動的だ,3,HSKpractice_exercises
1397,读者,dúzhě,読者,3,HSKpractice_exercises
1398,短处,duǎnchu,短所,3,HSKpractice_exercises
1399,短裤,duǎnkù,短パン,3,HSKpractice_exercises
1400,短期,duǎnqī,短期,3,HSKpractice_exercises
1401,断,duàn,断つ,3,HSKpractice_exercises
1402,队员,duìyuán,メンバー,3,HSKpractice_exercises
1403,对待,duìdài,対応する,3,HSKpractice_exercises
1404,对方,duìfāng,相手,3,HSKpractice_exercises
1405,对手,duìshǒu,相手・ライバル,3,HSKpractice_exercises
1406,对象,duìxiàng,対象,3,HSKpractice_exercises
1407,顿,dùn,〜回(食事の量詞),3,HSKpractice_exercises
1408,发表,fābiǎo,発表する,3,HSKpractice_exercises
1409,发出,fāchū,発する,3,HSKpractice_exercises
1410,发达,fādá,発達する,3,HSKpractice_exercises
1411,发动,fādòng,発動する,3,HSKpractice_exercises
1412,发明,fāmíng,発明する,3,HSKpractice_exercises
1413,发生,fāshēng,発生する,3,HSKpractice_exercises
1414,发送,fāsòng,送信する,3,HSKpractice_exercises
1415,发言,fāyán,発言する,3,HSKpractice_exercises
1416,发展,fāzhǎn,発展する,3,HSKpractice_exercises
1417,反对,fǎnduì,反対する,3,HSKpractice_exercises
1418,反复,fǎnfù,繰り返す,3,HSKpractice_exercises
1419,反应,fǎnyìng,反応する,3,HSKpractice_exercises
1420,反正,fǎnzhèng,とにかく,3,HSKpractice_exercises
1421,范围,fànwéi,範囲,3,HSKpractice_exercises
1422,方式,fāngshì,方式、やり方,3,HSKpractice_exercises
1423,防,fáng,防ぐ,3,HSKpractice_exercises
1424,防止,fángzhǐ,防止する,3,HSKpractice_exercises
1425,房东,fángdōng,大家,3,HSKpractice_exercises
1426,房屋,fángwū,家屋,3,HSKpractice_exercises
1427,房租,fángzū,家賃,3,HSKpractice_exercises
1428,访问,fǎngwèn,訪問する,3,HSKpractice_exercises
1429,放到,fàngdào,置く,3,HSKpractice_exercises
1430,飞行,fēixíng,飛行する,3,HSKpractice_exercises
1431,费,fèi,費用,3,HSKpractice_exercises
1432,费用,fèiyòng,費用,3,HSKpractice_exercises
1433,分别,fēnbié,それぞれ・別れる,3,HSKpractice_exercises
1434,分配,fēnpèi,分配する,3,HSKpractice_exercises
1435,分组,fēnzǔ,グループ分けする,3,HSKpractice_exercises
1436,丰富,fēngfù,豊富だ,3,HSKpractice_exercises
1437,风险,fēngxiǎn,リスク,3,HSKpractice_exercises
1438,否定,fǒudìng,否定する,3,HSKpractice_exercises
1439,否认,fǒurèn,否認する,3,HSKpractice_exercises
1440,服装,fúzhuāng,服装,3,HSKpractice_exercises
1441,福,fú,幸福,3,HSKpractice_exercises
1442,父母,fùmǔ,両親,3,HSKpractice_exercises
1443,父亲,fùqīn,父親,3,HSKpractice_exercises
1444,付,fù,支払う,3,HSKpractice_exercises
1445,负责,fùzé,担当する、責任を持つ,3,HSKpractice_exercises
1446,复印,fùyìn,コピーする,3,HSKpractice_exercises
1447,复杂,fùzá,複雑,3,HSKpractice_exercises
1448,富,fù,豊かだ,3,HSKpractice_exercises
1449,改进,gǎijìn,改善する,3,HSKpractice_exercises
1450,改造,gǎizào,改造する,3,HSKpractice_exercises
1451,概念,gàiniàn,概念,3,HSKpractice_exercises
1452,赶,gǎn,急ぐ,3,HSKpractice_exercises
1453,赶到,gǎndào,駆けつける,3,HSKpractice_exercises
1454,赶紧,gǎnjǐn,急いで,3,HSKpractice_exercises
1455,赶快,gǎnkuài,急いで,3,HSKpractice_exercises
1456,敢,gǎn,敢えて〜する,3,HSKpractice_exercises
1457,感冒,gǎnmào,風邪をひく,3,HSKpractice_exercises
1458,感情,gǎnqíng,感情,3,HSKpractice_exercises
1459,感受,gǎnshòu,感じる,3,HSKpractice_exercises
1460,干吗,gànmá,何のために,3,HSKpractice_exercises
1461,高速,gāosù,高速,3,HSKpractice_exercises
1462,高速公路,gāosù gōnglù,高速道路,3,HSKpractice_exercises
1463,告别,gàobié,別れを告げる,3,HSKpractice_exercises
1464,歌迷,gēmí,歌のファン,3,HSKpractice_exercises
1465,歌声,gēshēng,歌声,3,HSKpractice_exercises
1466,歌手,gēshǒu,歌手,3,HSKpractice_exercises
1467,个人,gèrén,個人,3,HSKpractice_exercises
1468,个性,gèxìng,個性,3,HSKpractice_exercises
1469,各,gè,それぞれの,3,HSKpractice_exercises
1470,各地,gèdì,各地,3,HSKpractice_exercises
1471,各位,gèwèi,皆様,3,HSKpractice_exercises
1472,各种,gèzhǒng,各種,3,HSKpractice_exercises
1473,各自,gèzì,それぞれ,3,HSKpractice_exercises
1474,根本,gēnběn,そもそも、根本的に,3,HSKpractice_exercises
1475,更加,gèngjiā,一層,3,HSKpractice_exercises
1476,工厂,gōngchǎng,工場,3,HSKpractice_exercises
1477,工程师,gōngchéngshī,エンジニア,3,HSKpractice_exercises
1478,工夫,gōngfu,時間・手間,3,HSKpractice_exercises
1479,工具,gōngjù,道具,3,HSKpractice_exercises
1480,工业,gōngyè,工業,3,HSKpractice_exercises
1481,工资,gōngzī,給料,3,HSKpractice_exercises
1482,公布,gōngbù,公布する,3,HSKpractice_exercises
1483,公共,gōnggòng,公共の,3,HSKpractice_exercises
1484,公开,gōngkāi,公開する,3,HSKpractice_exercises
1485,公民,gōngmín,公民,3,HSKpractice_exercises
1486,公务员,gōngwùyuán,公務員,3,HSKpractice_exercises
1487,功夫,gōngfu,武術・時間,3,HSKpractice_exercises
1488,功课,gōngkè,学業・宿題,3,HSKpractice_exercises
1489,功能,gōngnéng,機能,3,HSKpractice_exercises
1490,共同,gòngtóng,共同,3,HSKpractice_exercises
1491,共有,gòngyǒu,共有する,3,HSKpractice_exercises
1492,姑娘,gūniang,娘・若い女性,3,HSKpractice_exercises
1493,古,gǔ,古い,3,HSKpractice_exercises
1494,古代,gǔdài,古代,3,HSKpractice_exercises
1495,故乡,gùxiāng,故郷,3,HSKpractice_exercises
1496,挂,guà,掛ける,3,HSKpractice_exercises
1497,关系,guānxi,関係,3,HSKpractice_exercises
1498,关注,guānzhù,関心を持つ、注目する,3,HSKpractice_exercises
1499,观察,guānchá,観察する,3,HSKpractice_exercises
1500,观看,guānkàn,観覧する,3,HSKpractice_exercises
1501,观念,guānniàn,考え方、観念,3,HSKpractice_exercises
1502,观众,guānzhòng,観客,3,HSKpractice_exercises
1503,管,guǎn,管理する,3,HSKpractice_exercises
1504,管理,guǎnlǐ,管理する,3,HSKpractice_exercises
1505,光,guāng,光,3,HSKpractice_exercises
1506,光明,guāngmíng,光明,3,HSKpractice_exercises
1507,广播,guǎngbō,放送,3,HSKpractice_exercises
1508,广大,guǎngdà,広大な,3,HSKpractice_exercises
1509,规定,guīdìng,規定,3,HSKpractice_exercises
1510,规范,guīfàn,規範,3,HSKpractice_exercises
1511,国内,guónèi,国内,3,HSKpractice_exercises
1512,国庆,Guóqìng,国慶節,3,HSKpractice_exercises
1513,果然,guǒrán,やはり,3,HSKpractice_exercises
1514,果汁,guǒzhī,ジュース,3,HSKpractice_exercises
1515,过程,guòchéng,プロセス、過程,3,HSKpractice_exercises
1516,哈哈,hāhā,ハハ(笑い声),3,HSKpractice_exercises
1517,海关,hǎiguān,税関,3,HSKpractice_exercises
1518,害怕,hàipà,怖がる,3,HSKpractice_exercises
1519,好好,hǎohǎo,ちゃんと,3,HSKpractice_exercises
1520,好奇,hàoqí,好奇心が強い,3,HSKpractice_exercises
1521,合,hé,合わせる,3,HSKpractice_exercises
1522,合法,héfǎ,合法,3,HSKpractice_exercises
1523,合格,hégé,合格する,3,HSKpractice_exercises
1524,合理,hélǐ,合理的,3,HSKpractice_exercises
1525,合作,hézuò,協力する,3,HSKpractice_exercises
1526,和平,hépíng,平和,3,HSKpractice_exercises
1527,红茶,hóngchá,紅茶,3,HSKpractice_exercises
1528,红酒,hóngjiǔ,赤ワイン,3,HSKpractice_exercises
1529,后果,hòuguǒ,結果(悪い),3,HSKpractice_exercises
1530,后面,hòumiàn,後ろ,3,HSKpractice_exercises
1531,后年,hòunián,再来年,3,HSKpractice_exercises
1532,互联网,hùliánwǎng,インターネット,3,HSKpractice_exercises
1533,互相,hùxiāng,互いに,3,HSKpractice_exercises
1534,划船,huáchuán,ボートを漕ぐ,3,HSKpractice_exercises
1535,华人,huárén,中国系の人,3,HSKpractice_exercises
1536,化,huà,〜化,3,HSKpractice_exercises
1537,话剧,huàjù,演劇,3,HSKpractice_exercises
1538,话题,huàtí,話題,3,HSKpractice_exercises
1539,欢乐,huānlè,楽しい,3,HSKpractice_exercises
1540,环,huán,輪,3,HSKpractice_exercises
1541,环保,huánbǎo,環境保護（の）,3,HSKpractice_exercises
1542,环境,huánjìng,環境,3,HSKpractice_exercises
1543,会议,huìyì,会議,3,HSKpractice_exercises
1544,会员,huìyuán,会員,3,HSKpractice_exercises
1545,活,huó,生きる,3,HSKpractice_exercises
1546,火,huǒ,火,3,HSKpractice_exercises
1547,机器,jīqì,機械,3,HSKpractice_exercises
1548,积极,jījí,積極的,3,HSKpractice_exercises
1549,基本,jīběn,基本的な,3,HSKpractice_exercises
1550,基本上,jīběnshang,基本的に,3,HSKpractice_exercises
1551,基础,jīchǔ,基礎,3,HSKpractice_exercises
1552,及时,jíshí,タイムリーに,3,HSKpractice_exercises
1553,极了,jíle,非常に〜だ,3,HSKpractice_exercises
1554,集体,jítǐ,集団,3,HSKpractice_exercises
1555,集中,jízhōng,集中する,3,HSKpractice_exercises
1556,计算,jìsuàn,計算する,3,HSKpractice_exercises
1557,记录,jìlù,記録する,3,HSKpractice_exercises
1558,记者,jìzhě,記者,3,HSKpractice_exercises
1559,纪录,jìlù,記録(スポーツ等),3,HSKpractice_exercises
1560,纪念,jìniàn,記念する,3,HSKpractice_exercises
1561,技术,jìshù,技術,3,HSKpractice_exercises
1562,继续,jìxù,続ける,3,HSKpractice_exercises
