word,pinyin,meaning_ja
一本,yīběn,1冊
超期,chāoqī,期限を過ぎる
学生证,xuéshēngzhèng,学生証
五本,wǔběn,5冊
借期,jièqī,貸出期間
这本,zhèběn,この本
关于,guānyú,〜について
中国,zhōngguó,中国
历史,lìshǐ,歴史
之前,zhīqián,以前、〜前に
健身房,jiànshēnfáng,ジム
会员卡,huìyuánkǎ,会員カード
卡,kǎ,カード
季卡,jìkǎ,季刊会員カード（3か月分）
年,nián,年
年卡,niánkǎ,年間会員カード
两千块,liǎngqiānkuài,2000元
单独,dāndú,単独で、別々に
交,jiāo,払う、渡す
开门,kāimén,開店する、ドアを開ける
六点,liùdiǎn,6時
十一点,shíyìdiǎn,11時
天天,tiāntiān,毎日
营业,yíngyè,営業する
有没有,yǒuméiyǒu,〜がありますか
教练,jiàoliàn,コーチ、トレーナー
教,jiào,教える
器材,qìcái,器具、器材
第一次,dìyīcì,初めて
免费,miǎnfèi,無料
体验,tǐyàn,体験する
办年,bànnián,年間契約を申し込む（办＋年）
申请表,shēnqǐngbiǎo,申込書
阿泰,ātài,（人名）
电影,diànyǐng,映画
故事,gùshì,物語、ストーリー
感人,gǎnrén,感動的だ
那段,nàduàn,あのシーン、あの部分
哭,kū,泣く
演员,yǎnyuán,俳優
演得,yǎndé,演技が〜（演＋得）
主角,zhǔjué,主役
为了,wèile,〜のために
角色,juésè,役、キャラクター
练,liàn,練習する
难怪,nánguài,どうりで
真实,zhēnshí,リアルな、本物っぽい
不想,bùxiǎng,〜したくない
看一遍,kànyībiàn,一回見る
看吧,kànba,見よう（看＋吧）
阿静,ājìng,（人名）
知道,zhīdào,知っている、わかる
该,gāi,〜すべきだ
怎么办,zěnmebàn,どうしよう
新来,xīnlái,新しく来た
幽默,yōumò,ユーモアがある
表达,biǎodá,表現する
心意,xīnyì,気持ち
怕,pà,恐れる、心配する
表白,biǎobái,告白する
连,lián,〜さえ
不成,bùchéng,うまくいかない、だめになる
先多花,xiānduōhuā,まず多めに（時間を）かける（先＋多＋花）
饭,fàn,ご飯
顺其自然,shùnqízìrán,成り行きに任せる
心里,xīnlǐ,心の中
踏实,tàshí,落ち着いている、安心だ
进展,jìnzhǎn,進展
阿玲,ālíng,（人名）
婚礼,hūnlǐ,結婚式
日子,rìzi,日にち
定,dìng,決める
下来,xiàlái,〜し終える、〜してくる（方向補語）
市中心,shìzhōngxīn,市の中心部
婚纱,hūnshā,ウェディングドレス
好了吗,hǎolema,終わりましたか（好＋了＋吗）
选好,xuǎnhǎo,選び終える
尺寸,chǐcùn,サイズ
名单,míngdān,名簿、リスト
差不多,chàbuduō,だいたい、ほぼ
一百多位,yìbǎiduōwèi,100人あまり
热闹,rènào,にぎやかだ
那天,nàtiān,あの日
配合,pèihé,息を合わせる、共演する
早点儿,zǎodiǎnér,早めに
阿豪,āháo,（人名）
太太,tàitài,奥さん、夫人
送,sòng,贈る
婴儿用品,yīngéryòngpǐn,赤ちゃん用品
玩具,wánjù,おもちゃ
一辆,yīliàng,1台（車の量詞）
婴儿车,yīngérchē,ベビーカー
凑钱,còuqián,お金を出し合う
问问,wènwèn,ちょっと聞いてみる
其他人,qítārén,他の人
愿不愿意,yuànbùyuànyì,〜する気があるかどうか
问,wèn,尋ねる、聞く
健健康康,jiànjiànkāngkāng,健康であるように（健康の重ね型）
妈,mā,お母さん
暑假,shǔjià,夏休み
海边,hǎibiān,海辺
学,xué,習う、学ぶ
冲浪,chōnglàng,サーフィン
三亚,sānyà,三亜（サンヤ、海南島のリゾート地）
海,hǎi,海
初学者,chūxuézhě,初心者
五天,wǔtiān,5日間
四夜,sìyè,4泊
好玩儿,hǎowánér,面白い、楽しい
潜水,qiánshuǐ,ダイビング
尝尝,chángcháng,味わってみる
当地,dāngdì,現地
海鲜,hǎixiān,海鮮
慢慢,mànmàn,ゆっくりと
王老师,wánglǎoshī,（人名）
申请,shēnqǐng,申請する
留学,liúxué,留学する
通过,tōngguò,〜を通して
语言,yǔyán,言語
考试,kǎoshì,試験
日语,rìyǔ,日本語
水平,shuǐpíng,レベル
两年,liǎngnián,2年
听力,tīnglì,リスニング（力）
听,tīng,聞く
材料,cáiliào,資料、材料
成绩单,chéngjìdān,成績表
推荐信,tuījiànxìn,推薦状
计划书,jìhuàshū,計画書
选择,xuǎnzé,選ぶ、選択
专业,zhuānyè,専攻
季,jì,季節
秋天,qiūtiān,秋
职场,zhíchǎng,職場
男女平等,nánnǚpíngděng,男女平等
刘教授,liújiàoshòu,（人名）
近年来,jìnniánlái,近年
有所改善,yǒusuǒgǎishàn,ある程度改善された
薪酬,xīnchóu,給与、報酬
差距,chājù,格差
依然,yīrán,依然として
晋升,jìnshēng,昇進
平等,píngděng,平等
普遍,pǔbiàn,普遍的、一般的
管理层,guǎnlǐcéng,管理職層、経営陣
明显,míngxiǎn,明らかだ
制定,zhìdìng,制定する
明确,míngquè,明確にする
培训,péixùn,研修、トレーニング
观念,guānniàn,考え方、観念
同样,tóngyàng,同様に
转变,zhuǎnbiàn,転換する、変わる
见效,jiànxiào,効果が出る
引起,yǐnqǐ,引き起こす
张老师,zhānglǎoshī,（人名）
应试教育,yìngshìjiàoyù,受験教育、詰め込み教育
公平,gōngpíng,公平だ
选拔,xuǎnbá,選抜する
人才,réncái,人材
容易,róngyì,簡単だ、〜しやすい
个性,gèxìng,個性
创造力,chuàngzàolì,創造力
家长,jiāzhǎng,保護者
改进,gǎijìn,改善する
考试成绩,kǎoshìchéngjì,試験の成績
重视,zhòngshì,重視する
综合,zōnghé,総合的な
能力,nénglì,能力
刷题,shuātí,問題を大量に解く
参加,cānjiā,参加する
课外活动,kèwàihuódòng,課外活動
没错,méicuò,その通りだ
全面,quánmiàn,全面的な
帮助,bāngzhù,助ける、助け
心理健康,xīnlǐjiànkāng,心の健康、メンタルヘルス
教育,jiàoyù,教育
责任,zérèn,責任
全,quán,すべて
阿泓,āhóng,（人名）
生完,shēngwán,産み終える
后,hòu,〜の後
办法,bànfǎ,方法
家庭,jiātíng,家庭
面临,miànlín,直面する
休,xiū,休む
完假,wánjiǎ,休暇が終わる
回来,huílái,戻ってくる
很大,hěndà,とても大きい
人硬,rényìng,一人で無理に（人＋硬、扛＝耐える・担う）
扛,káng,一人で耐える、担う
家里人,jiālǐrén,家族
支持,zhīchí,支持する、支える
分担,fēndān,分担する
家务,jiāwù,家事
如此,rúcǐ,このように、そのように
缺一不可,quēyībùkě,一つも欠かせない
媒体,méitǐ,メディア
素养,sùyǎng,素養、リテラシー
平时,píngshí,普段
获取,huòqǔ,取得する
新闻,xīnwén,ニュース
社交,shèjiāo,ソーシャル、交際
方便快捷,fāngbiànkuàijié,便利で手早い
信息,xìnxī,情報
真假难辨,zhēnjiǎnánbiàn,真偽の区別がつきにくい
判断,pànduàn,判断する
可靠性,kěkàoxìng,信頼性
条,tiáo,〜件（量詞）
正规,zhèngguī,正規の、正式な
报道,bàodào,報道
会查,huìchá,調べるだろう（会＋查）
发布者,fābùzhě,発信者
背景,bèijǐng,背景
是否,shìfǒu,〜かどうか
可信,kěxìn,信頼できる
方法,fāngfǎ,方法
标题,biāotí,見出し、タイトル
党,dǎng,〜党（ここでは『标题党』＝扇情的な見出しを使う人、の意）
误导,wùdǎo,誤解させる、ミスリードする
只,zhǐ,ただ〜だけ
转发,zhuǎnfā,転送する、シェアする
根本,gēnběn,そもそも、根本的に
不看,bùkàn,見ない
培养,péiyǎng,養う、育てる
独立思考,dúlìsīkǎo,独立した思考
批判,pīpàn,批判する
吴博士,wúbóshì,（人名）
拉近,lājìn,縮める、近づける
与,yǔ,〜と
距离,jùlí,距離
另一方面,lìngyìfāngmiàn,他方では（「一方面…另一方面…」の形で対比を表す）
带来,dàilái,もたらす
心理压力,xīnlǐyālì,心理的プレッシャー
而,ér,そして、しかし
感到,gǎndào,感じる
焦虑,jiāolǜ,不安、焦り
现象,xiànxiàng,現象
常见,chángjiàn,よくある
叫做,jiàozuò,〜と呼ばれる
自我,zìwǒ,自己
认同,rèntóng,アイデンティティ、認同
健康,jiànkāng,健康
使用,shǐyòng,使用する
意识,yìshí,意識
网上,wǎngshàng,ネット上
呈现,chéngxiàn,呈する、示す
往往,wǎngwǎng,往々にして
好的开始,hǎodekāishǐ,良いスタート
线下,xiànxià,オフライン
社交活动,shèjiāohuódòng,社交活動
分析,fēnxī,分析する
平衡点,pínghéngdiǎn,バランスの取れる点
小龙,xiǎolóng,（人名）
同班同学,tóngbāntóngxué,同じクラスの同級生
一班,yībān,1組
请多关照,qǐngduōguānzhào,よろしくお願いします
数学课,shùxuékè,数学の授業
笔,bǐ,ペン
忘,wàng,忘れる
带笔,dàibǐ,ペンを持ってくる（带＋笔）
一支,yīzhī,1本（ペンの量詞）
一块,yīkuài,1個（消しゴムなどの量詞）
橡皮,xiàngpí,消しゴム
尺子,chǐzi,定規
不用,bùyòng,〜する必要がない
就够,jiùgòu,それで十分だ（就＋够）
上课,shàngkè,授業が始まる、授業をする
回,huí,戻る
座位,zuòwèi,座席
科目,kēmù,科目
体育课,tǐyùkè,体育の授業
体育,tǐyù,体育
音乐课,yīnyuèkè,音楽の授業
唱歌,chànggē,歌を歌う
弹钢琴,tángāngqín,ピアノを弾く
厉害,lìhài,すごい
数学,shùxué,数学
加油,jiāyóu,頑張る
阿美,āměi,（人名）
早饭,zǎofàn,朝ごはん
面包,miànbāo,パン
牛奶,niúnǎi,牛乳
起晚,qǐwǎn,起きるのが遅くなる（起＋晚）
饿,è,お腹がすいている
卖,mài,売る
包子,bāozi,肉まん
起来,qǐlái,〜し始める、起き上がる（方向補語）
当然,dāngrán,もちろん
带水,dàishuǐ,水を持っていく（带＋水）
大明,dàmíng,（人名）
今晚,jīnwǎn,今晩
好久没,hǎojiǔméi,長い間〜していない（好久＋没）
小陈,xiǎochén,（人名）
房间,fángjiān,部屋
唱,chàng,歌う
三个,sāngè,3つ
点些,diǎnxiē,いくつか注文する（点＋些）
零食,língshí,おやつ
阿强,āqiáng,（人名）
小雨,xiǎoyǔ,（人名）
画画,huàhuà,絵を描く
画笔,huàbǐ,絵筆
商场,shāngchǎng,デパート、ショッピングモール
三楼,sānlóu,3階
文具店,wénjùdiàn,文房具店
买张,mǎizhāng,1枚買う（买＋张）
卡片,kǎpiàn,カード
开心,kāixīn,嬉しい
预订,yùdìng,予約する
住,zhù,泊まる、住む
两天,liǎngtiān,2日間
周五,zhōuwǔ,金曜日
周日,zhōurì,日曜日
单人间,dānrénjiān,シングルルーム
双人间,shuāngrénjiān,ツインルーム
一,yī,1
晚,wǎn,泊、夜
三百五十,sānbǎiwǔshí,350
元,yuán,元（通貨単位）
刷卡,shuākǎ,カードで支払う
付款,fùkuǎn,支払う
出示,chūshì,提示する
身份证,shēnfènzhèng,身分証
办理,bànlǐ,手続きする
登机,dēngjī,搭乗する
手续,shǒuxù,手続き
护照,hùzhào,パスポート
托运,tuōyùn,（荷物を）預ける
靠窗,kàochuāng,窓側
十二,shíèr,12
排,pái,列
登机口,dēngjīkǒu,搭乗口
半小时,bànxiǎoshí,30分間
阿宁,āníng,（人名）
上海,shànghǎi,上海（地名）
火车票,huǒchēpiào,電車の切符
车,chē,電車、車
起太早,qǐtàizǎo,あまりに早く起きる（起＋太＋早）
二等,èrděng,2等
座,zuò,席
一等,yīděng,1等
两张,liǎngzhāng,2枚
票,piào,チケット
记得,jìde,覚えている
位置,wèizhì,位置、席
买好,mǎihǎo,買い終わる
Tom,Tom,（人名）
中文,zhōngwén,中国語
流利,liúlì,流暢だ
英语,yīngyǔ,英語
一半,yíbàn,半分
最难,zuìnán,一番難しい
声调,shēngdiào,声調
难,nán,難しい
说错,shuōcuò,言い間違える
介绍,jièshào,紹介する
大三,dàsān,大学3年生
想来,xiǎnglái,来たいと思う（想＋来）
实习,shíxí,インターンをする、実習
行业,hángyè,業界
里,lǐ,〜の中
有名,yǒumíng,有名だ
学到,xuédào,学んで身につける（学＋到）
经验,jīngyàn,経験
经历,jīnglì,経歴、経験
去年,qùnián,去年
广告公司,guǎnggàogōngsī,広告会社
上班,shàngbān,出勤する
下周一,xiàzhōuyī,来週月曜日
随时,suíshí,いつでも
项目,xiàngmù,プロジェクト
进度,jìndù,進捗
设计,shèjì,デザイン、設計
部分,bùfèn,部分
完成,wánchéng,完成する
百分之八十,bǎifēnzhībāshí,80パーセント
细节,xìjié,細部
的话,dehuà,〜ならば（もし〜の話）
一周,yīzhōu,1週間
之内,zhīnèi,〜以内
那边,nàbiān,そちら
暂时,zànshí,一時的に、今のところ
人手,rénshǒu,人手
人事部门,rénshìbùmén,人事部
方案,fāngàn,案、プラン
不同,bùtóng,異なる
说说看,shuōshuōkàn,ちょっと話してみて（说说＋看）
计划,jìhuà,計画
太紧张,tàijǐnzhāng,タイトすぎる（太＋紧张）
不快,bùkuài,速くない（不＋快）
一点,yìdiǎn,少し
赶不上,gǎnbùshàng,間に合わない
截止,jiézhǐ,締め切る
日期,rìqī,日付
可不可以,kěbùkěyǐ,〜してもいいですか
客户,kèhù,顧客
商量一下,shāngliángyīxià,ちょっと相談する
延期,yánqī,延期する
试试,shìshì,試してみる
意见,yìjiàn,意見
团队,tuánduì,チーム
互相理解,hùxiānglǐjiě,お互いに理解し合う
整体,zhěngtǐ,全体
数据分析,shùjùfēnxī,データ分析
详细,xiángxì,詳しい
补充,bǔchōng,補足する
试着,shìzhe,試しに〜してみる
提出,tíchū,提出する、提案する
主动,zhǔdòng,積極的な
总的来说,zǒngdeláishuō,全体的に言うと
进步,jìnbù,進歩する
很快,hěnkuài,速い
城市,chéngshì,都市
农村,nóngcūn,農村
城乡,chéngxiāng,都市と農村
有所,yǒusuǒ,いくらか（〜がある）
缩小,suōxiǎo,縮小する
原因,yuányīn,原因
医疗,yīliáo,医療
资源分配,zīyuánfēnpèi,資源の分配
不均,bùjūn,不均衡だ
回流,huíliú,還流する、戻る
单纯,dānchún,単純に
资金,zījīn,資金
建立,jiànlì,構築する、設立する
产业,chǎnyè,産業
留下来,liúxiàlái,残る
创业,chuàngyè,起業する
魅力,mèilì,魅力
实现,shíxiàn,実現する
失败率,shībàilǜ,失敗率
创业者,chuàngyèzhě,起業家
做好,zuòhǎo,しっかりやる、準備する
哪些,nǎxiē,どれら
心理准备,xīnlǐzhǔnbèi,心の準備
接受,jiēshòu,受け入れる
失败,shībài,失敗
其次,qícì,次に
不断,bùduàn,絶えず
盲目,mángmù,盲目的に、無闇に
扩张,kuòzhāng,拡張する
产品,chǎnpǐn,製品
用户,yònghù,ユーザー
自然,zìrán,自然に
入手,rùshǒu,着手する
承受,chéngshòu,耐える、受け止める
多大,duōdà,どのくらい大きい
保守,bǎoshǒu,保守的
不太能,bùtàinéng,あまり〜できない
亏损,kuīsǔn,損失
基金,jījīn,投資信託、ファンド
债券,zhàiquàn,債券
相对,xiāngduì,相対的に
较,jiào,比較的
股票,gǔpiào,株
长期投资,chángqītóuzī,長期投資
收益,shōuyì,収益
更高,gènggāo,より高い
分配,fēnpèi,分配する
超过,chāoguò,超える
总资产,zǒngzīchǎn,総資産
三成,sānchéng,3割
讲解,jiǎngjiě,説明する
养老,yǎnglǎo,老後の生活を養う
规划,guīhuà,計画する
越早,yuèzǎo,早ければ早いほど（越＋早）
养老金,yǎnglǎojīn,年金
收入,shōurù,収入
不高,bùgāo,高くない
存钱,cúnqián,貯金する
即使,jíshǐ,たとえ〜でも
金额,jīné,金額
不大,bùdà,大きくない
养成,yǎngchéng,身につける、養成する
定期,dìngqī,定期的な
储蓄,chǔxù,貯蓄
习惯,xíguàn,習慣
其他,qítā,その他
购买,gòumǎi,購入する
用来,yònglái,〜に使う
至少,zhìshǎo,少なくとも
百分之十五,bǎifēnzhīshíwǔ,15パーセント
越多越好,yuèduōyuèhǎo,多ければ多いほど良い
早,zǎo,早い
医疗保险,yīliáobǎoxiǎn,医療保険
覆盖范围,fùgàifànwéi,カバー範囲
广,guǎng,広い
看病,kànbìng,診察を受ける
很长,hěnzhǎng,とても長い
怎样,zěnyàng,どのように
看病难,kànbìngnán,受診の難しさ（看病＋难）
数量,shùliàng,数量
推广,tuīguǎng,普及させる
社区,shèqū,地域、コミュニティ
往,wǎng,〜へ向かって
跑,pǎo,走る、駆けつける
缓解,huǎnjiě,緩和する
网络,wǎngluò,ネットワーク
条件,tiáojiàn,条件
小病,xiǎobìng,軽い病気
在线,zàixiàn,オンラインの
咨询,zīxún,相談する
资源,zīyuán,資源
更加,gèngjiā,一層
合理,hélǐ,合理的
